zipcode,number_of_customers,Percentage
75024,181,0.03
90049,181,0.03
95758,181,0.03
12504,181,0.03
46383,181,0.03
48108,181,0.03
02150,180,0.03
02881,180,0.03
05819,180,0.03
28277,179,0.03
75081,179,0.03
76207,179,0.03
79415,179,0.03
98028,179,0.03
32904,179,0.03
55901,178,0.03
91768,178,0.03
06360,178,0.03
27403,178,0.03
07940,177,0.03
91344,177,0.03
92683,177,0.03
94044,177,0.03
94061,177,0.03
42071,177,0.03
91355,176,0.03
95070,176,0.03
02912,176,0.03
01803,174,0.03
07083,174,0.03
92078,174,0.03
93110,174,0.03
94304,174,0.03
99352,174,0.03
10028,173,0.03
13346,173,0.03
20910,173,0.03
80113,173,0.03
77081,172,0.03
89146,172,0.03
91740,172,0.03
43235,172,0.03
01702,172,0.03
04037,172,0.03
04072,172,0.03
18073,171,0.03
19001,171,0.03
27708,171,0.03
77459,171,0.03
91762,171,0.03
30263,171,0.03
60089,171,0.03
30030,170,0.03
02145,170,0.03
10708,170,0.03
11211,170,0.03
98106,170,0.03
02114,169,0.03
08816,169,0.03
11021,169,0.03
84112,169,0.03
94601,169,0.03
95127,169,0.03
91741,168,0.03
92677,168,0.03
30332,168,0.03
05403,168,0.03
07601,168,0.03
11542,168,0.03
02766,167,0.03
75287,167,0.03
83706,167,0.03
98056,167,0.03
33617,167,0.03
46637,167,0.03
75035,166,0.03
80401,166,0.03
91362,166,0.03
07102,166,0.03
11217,166,0.03
12603,166,0.03
04401,165,0.03
06277,165,0.03
11215,165,0.03
13676,165,0.03
21209,165,0.03
29631,165,0.03
84058,165,0.03
85286,165,0.03
93710,165,0.03
95757,165,0.03
61701,165,0.03
95124,164,0.03
08902,164,0.03
22180,164,0.03
08544,163,0.03
72701,163,0.03
75070,163,0.03
85201,163,0.03
91722,163,0.03
59715,163,0.03
45040,162,0.03
66044,162,0.03
02459,162,0.03
11106,161,0.03
86351,161,0.03
93065,161,0.03
70115,160,0.03
72703,160,0.03
73013,160,0.03
91320,160,0.03
01201,160,0.03
15701,160,0.03
29225,160,0.03
48912,160,0.03
43606,159,0.03
01033,159,0.03
18018,159,0.03
78613,159,0.03
80027,159,0.03
95211,159,0.03
80202,158,0.03
90640,158,0.03
92563,158,0.03
93109,158,0.03
11362,158,0.03
40503,158,0.03
43204,158,0.03
32817,157,0.03
40422,157,0.03
20009,157,0.03
11530,156,0.03
24502,156,0.03
53719,156,0.03
85716,156,0.03
94960,156,0.03
85085,155,0.03
13126,155,0.03
17325,155,0.03
19087,155,0.03
20874,155,0.03
02176,154,0.03
91011,154,0.03
92131,154,0.03
46545,154,0.03
75235,153,0.03
92870,153,0.03
11372,153,0.03
11550,153,0.03
19610,153,0.03
22182,153,0.03
98198,153,0.03
90006,152,0.03
91737,152,0.03
19406,152,0.03
06106,151,0.03
07304,151,0.03
60045,151,0.03
83716,151,0.03
95122,151,0.03
77042,150,0.03
80222,150,0.03
82070,150,0.03
92124,150,0.03
02420,150,0.03
11104,150,0.03
13617,149,0.03
17543,149,0.03
22043,149,0.03
75248,149,0.03
91103,149,0.03
50266,149,0.03
06459,148,0.03
63121,148,0.03
80216,148,0.03
94070,148,0.03
