zipcode,number_of_customers,Percentage
70609,5,0.00
70634,5,0.00
71109,5,0.00
71251,5,0.00
71272,5,0.00
71909,5,0.00
72117,5,0.00
72160,5,0.00
72315,5,0.00
72921,5,0.00
73026,5,0.00
73128,5,0.00
74115,5,0.00
74146,5,0.00
74301,5,0.00
74801,5,0.00
75147,5,0.00
75156,5,0.00
75189,5,0.00
75224,5,0.00
75226,5,0.00
75237,5,0.00
75602,5,0.00
75904,5,0.00
75961,5,0.00
76049,5,0.00
76140,5,0.00
76234,5,0.00
76306,5,0.00
76450,5,0.00
76701,5,0.00
76909,5,0.00
77017,5,0.00
77037,5,0.00
77085,5,0.00
77087,5,0.00
77414,5,0.00
77437,5,0.00
77502,5,0.00
77520,5,0.00
77536,5,0.00
77541,5,0.00
77583,5,0.00
77591,5,0.00
78040,5,0.00
78064,5,0.00
78119,5,0.00
78589,5,0.00
78596,5,0.00
79118,5,0.00
79411,5,0.00
79699,5,0.00
79764,5,0.00
79772,5,0.00
79927,5,0.00
79930,5,0.00
79932,5,0.00
80005,5,0.00
80207,5,0.00
80465,5,0.00
80904,5,0.00
81082,5,0.00
81401,5,0.00
81432,5,0.00
82501,5,0.00
83442,5,0.00
83607,5,0.00
83644,5,0.00
83835,5,0.00
84032,5,0.00
84087,5,0.00
84128,5,0.00
84765,5,0.00
85034,5,0.00
85087,5,0.00
85208,5,0.00
85353,5,0.00
85546,5,0.00
85714,5,0.00
86426,5,0.00
87410,5,0.00
87571,5,0.00
88012,5,0.00
88260,5,0.00
89019,5,0.00
89433,5,0.00
89508,5,0.00
89705,5,0.00
92301,5,0.00
92314,5,0.00
92328,5,0.00
92585,5,0.00
92616,5,0.00
93246,5,0.00
93463,5,0.00
93505,5,0.00
93543,5,0.00
93560,5,0.00
93636,5,0.00
93637,5,0.00
93723,5,0.00
94012,5,0.00
94505,5,0.00
94535,5,0.00
95161,5,0.00
95337,5,0.00
95439,5,0.00
95453,5,0.00
95619,5,0.00
95632,5,0.00
95949,5,0.00
96035,5,0.00
96064,5,0.00
96859,5,0.00
97071,5,0.00
97227,5,0.00
97525,5,0.00
63050,4,0.00
63113,4,0.00
63118,4,0.00
63382,4,0.00
63834,4,0.00
63857,4,0.00
64085,4,0.00
64129,4,0.00
64130,4,0.00
64136,4,0.00
64633,4,0.00
64836,4,0.00
65897,4,0.00
66064,4,0.00
66083,4,0.00
66106,4,0.00
66226,4,0.00
66434,4,0.00
66436,4,0.00
66603,4,0.00
67005,4,0.00
67215,4,0.00
67235,4,0.00
67701,4,0.00
68122,4,0.00
68138,4,0.00
68763,4,0.00
69361,4,0.00
70126,4,0.00
70445,4,0.00
70517,4,0.00
70520,4,0.00
70665,4,0.00
70715,4,0.00
70722,4,0.00
71055,4,0.00
71075,4,0.00
71103,4,0.00
71280,4,0.00
71832,4,0.00
72019,4,0.00
72210,4,0.00
72227,4,0.00
72370,4,0.00
72714,4,0.00
72908,4,0.00
73102,4,0.00
73149,4,0.00
74021,4,0.00
74110,4,0.00
74354,4,0.00
75054,4,0.00
75149,4,0.00
75160,4,0.00
75180,4,0.00
75181,4,0.00
75212,4,0.00
75501,4,0.00
75654,4,0.00
75672,4,0.00
75702,4,0.00
75709,4,0.00
75935,4,0.00
76052,4,0.00
76058,4,0.00
76114,4,0.00
76309,4,0.00
76908,4,0.00
77009,4,0.00
77029,4,0.00
77032,4,0.00
77076,4,0.00
77091,4,0.00
77357,4,0.00
77480,4,0.00
77511,4,0.00
77565,4,0.00
77575,4,0.00
77707,4,0.00
77957,4,0.00
78204,4,0.00
78222,4,0.00
78242,4,0.00
78244,4,0.00
78574,4,0.00
78624,4,0.00
78644,4,0.00
78722,4,0.00
79409,4,0.00
79698,4,0.00
79903,4,0.00
79915,4,0.00
80477,4,0.00
80624,4,0.00
80951,4,0.00
81005,4,0.00
81211,4,0.00
81212,4,0.00
81506,4,0.00
81612,4,0.00
81620,4,0.00
81631,4,0.00
83025,4,0.00
83110,4,0.00
83286,4,0.00
83638,4,0.00
83844,4,0.00
84049,4,0.00
84056,4,0.00
84150,4,0.00
84332,4,0.00
84734,4,0.00
85045,4,0.00
85143,4,0.00
85266,4,0.00
85326,4,0.00
85355,4,0.00
85621,4,0.00
85641,4,0.00
85901,4,0.00
85937,4,0.00
85938,4,0.00
86038,4,0.00
86315,4,0.00
86401,4,0.00
86504,4,0.00
87131,4,0.00
87413,4,0.00
88210,4,0.00
89104,4,0.00
89158,4,0.00
89450,4,0.00
90003,4,0.00
90222,4,0.00
90876,4,0.00
91612,4,0.00
91747,4,0.00
91756,4,0.00
91935,4,0.00
92003,4,0.00
92007,4,0.00
92061,4,0.00
92118,4,0.00
9212292122,4,0.00
92136,4,0.00
92182,4,0.00
92227,4,0.00
92252,4,0.00
92256,4,0.00
92352,4,0.00
92410,4,0.00
92613,4,0.00
93016,4,0.00
93060,4,0.00
93257,4,0.00
93407,4,0.00
93437,4,0.00
93501,4,0.00
93546,4,0.00
93614,4,0.00
93648,4,0.00
93657,4,0.00
94106,4,0.00
94592,4,0.00
95326,4,0.00
95461,4,0.00
95650,4,0.00
95683,4,0.00
95954,4,0.00
96007,4,0.00
96019,4,0.00
96073,4,0.00
96704,4,0.00
96746,4,0.00
96793,4,0.00
97027,4,0.00
97038,4,0.00
97051,4,0.00
97133,4,0.00
97148,4,0.00
97238,4,0.00
97251,4,0.00
97383,4,0.00
97394,4,0.00
97446,4,0.00
97487,4,0.00
97540,4,0.00
29666,4,0.00
29673,4,0.00
29690,4,0.00
29812,4,0.00
29927,4,0.00
30058,4,0.00
30088,4,0.00
30103,4,0.00
30121,4,0.00
30143,4,0.00
30276,4,0.00
30277,4,0.00
30286,4,0.00
30296,4,0.00
30336,4,0.00
30354,4,0.00
30401,4,0.00
30517,4,0.00
30540,4,0.00
30680,4,0.00
30725,4,0.00
30802,4,0.00
30815,4,0.00
30830,4,0.00
30833,4,0.00
30912,4,0.00
31028,4,0.00
31312,4,0.00
31411,4,0.00
31516,4,0.00
31558,4,0.00
31750,4,0.00
31905,4,0.00
32043,4,0.00
32141,4,0.00
32220,4,0.00
32401,4,0.00
32433,4,0.00
32446,4,0.00
32908,4,0.00
33010,4,0.00
33055,4,0.00
33101,4,0.00
33192,4,0.00
33430,4,0.00
33616,4,0.00
33770,4,0.00
33776,4,0.00
33852,4,0.00
34145,4,0.00
34201,4,0.00
34222,4,0.00
34240,4,0.00
34452,4,0.00
34465,4,0.00
34488,4,0.00
34604,4,0.00
34688,4,0.00
34689,4,0.00
34690,4,0.00
35023,4,0.00
35040,4,0.00
35071,4,0.00
35115,4,0.00
35160,4,0.00
35475,4,0.00
35757,4,0.00
36037,4,0.00
36064,4,0.00
36104,4,0.00
36345,4,0.00
36360,4,0.00
36421,4,0.00
36607,4,0.00
36618,4,0.00
36701,4,0.00
36732,4,0.00
36907,4,0.00
36932,4,0.00
37062,4,0.00
37083,4,0.00
37086,4,0.00
37208,4,0.00
37210,4,0.00
37220,4,0.00
37321,4,0.00
37355,4,0.00
37419,4,0.00
37724,4,0.00
37748,4,0.00
37777,4,0.00
38063,4,0.00
38135,4,0.00
38631,4,0.00
38651,4,0.00
38703,4,0.00
38863,4,0.00
39210,4,0.00
39212,4,0.00
39345,4,0.00
39819,4,0.00
40014,4,0.00
40031,4,0.00
40033,4,0.00
40065,4,0.00
40160,4,0.00
40219,4,0.00
40361,4,0.00
40701,4,0.00
41240,4,0.00
42038,4,0.00
42041,4,0.00
42087,4,0.00
43074,4,0.00
43113,4,0.00
43311,4,0.00
43430,4,0.00
43506,4,0.00
43604,4,0.00
43832,4,0.00
43920,4,0.00
44022,4,0.00
44024,4,0.00
44044,4,0.00
44055,4,0.00
44056,4,0.00
44112,4,0.00
44119,4,0.00
44123,4,0.00
44125,4,0.00
44138,4,0.00
44262,4,0.00
44302,4,0.00
44408,4,0.00
44410,4,0.00
44420,4,0.00
44514,4,0.00
45050,4,0.00
45055,4,0.00
45204,4,0.00
45218,4,0.00
45417,4,0.00
45435,4,0.00
45505,4,0.00
45601,4,0.00
45669,4,0.00
45690,4,0.00
46011,4,0.00
46173,4,0.00
46176,4,0.00
46184,4,0.00
46231,4,0.00
46517,4,0.00
46725,4,0.00
46774,4,0.00
46802,4,0.00
46936,4,0.00
46947,4,0.00
47025,4,0.00
47042,4,0.00
47122,4,0.00
47172,4,0.00
47441,4,0.00
47460,4,0.00
47720,4,0.00
48026,4,0.00
48030,4,0.00
48141,4,0.00
48174,4,0.00
48186,4,0.00
48189,4,0.00
48192,4,0.00
48220,4,0.00
48238,4,0.00
48359,4,0.00
48658,4,0.00
48832,4,0.00
48833,4,0.00
48837,4,0.00
48867,4,0.00
48881,4,0.00
49007,4,0.00
49017,4,0.00
49030,4,0.00
49036,4,0.00
49058,4,0.00
49097,4,0.00
49117,4,0.00
49461,4,0.00
49636,4,0.00
49721,4,0.00
49738,4,0.00
50036,4,0.00
50211,4,0.00
50614,4,0.00
50703,4,0.00
52205,4,0.00
52401,4,0.00
53090,4,0.00
53121,4,0.00
53149,4,0.00
53171,4,0.00
53177,4,0.00
53225,4,0.00
53532,4,0.00
53589,4,0.00
53714,4,0.00
53716,4,0.00
53948,4,0.00
53963,4,0.00
54136,4,0.00
54153,4,0.00
54155,4,0.00
54210,4,0.00
54228,4,0.00
54235,4,0.00
54241,4,0.00
54456,4,0.00
54603,4,0.00
54942,4,0.00
54961,4,0.00
55056,4,0.00
55063,4,0.00
55130,4,0.00
55319,4,0.00
55321,4,0.00
55340,4,0.00
55444,4,0.00
55604,4,0.00
55807,4,0.00
56013,4,0.00
56073,4,0.00
56164,4,0.00
56472,4,0.00
56573,4,0.00
56701,4,0.00
57718,4,0.00
57719,4,0.00
58204,4,0.00
58784,4,0.00
59457,4,0.00
59717,4,0.00
59912,4,0.00
60012,4,0.00
60033,4,0.00
60135,4,0.00
60153,4,0.00
60404,4,0.00
60409,4,0.00
60432,4,0.00
60526,4,0.00
60554,4,0.00
60620,4,0.00
60652,4,0.00
60666,4,0.00
60805,4,0.00
61068,4,0.00
61254,4,0.00
61350,4,0.00
61356,4,0.00
61443,4,0.00
61462,4,0.00
61604,4,0.00
61613,4,0.00
62298,4,0.00
62471,4,0.00
62568,4,0.00
63045,4,0.00
01069,4,0.00
01104,4,0.00
01234,4,0.00
01238,4,0.00
01469,4,0.00
01473,4,0.00
01747,4,0.00
01773,4,0.00
01952,4,0.00
02032,4,0.00
02330,4,0.00
02356,4,0.00
02418,4,0.00
02447,4,0.00
02557,4,0.00
02638,4,0.00
02642,4,0.00
02644,4,0.00
02655,4,0.00
02664,4,0.00
02743,4,0.00
02746,4,0.00
02874,4,0.00
03033,4,0.00
03036,4,0.00
03045,4,0.00
03269,4,0.00
03275,4,0.00
03287,4,0.00
03458,4,0.00
03575,4,0.00
03750,4,0.00
03773,4,0.00
03812,4,0.00
03848,4,0.00
03869,4,0.00
04001,4,0.00
04039,4,0.00
04742,4,0.00
04743,4,0.00
04861,4,0.00
04915,4,0.00
04953,4,0.00
05156,4,0.00
05355,4,0.00
05676,4,0.00
06051,4,0.00
06052,4,0.00
06057,4,0.00
06088,4,0.00
06112,4,0.00
06239,4,0.00
06248,4,0.00
06282,4,0.00
06403,4,0.00
06498,4,0.00
06784,4,0.00
06798,4,0.00
06890,4,0.00
07416,4,0.00
07432,4,0.00
07480,4,0.00
07505,4,0.00
07606,4,0.00
07620,4,0.00
07662,4,0.00
07758,4,0.00
07823,4,0.00
07852,4,0.00
07853,4,0.00
07882,4,0.00
08036,4,0.00
08066,4,0.00
08070,4,0.00
08402,4,0.00
08501,4,0.00
08505,4,0.00
08528,4,0.00
08560,4,0.00
08562,4,0.00
08722,4,0.00
08733,4,0.00
08739,4,0.00
10112,4,0.00
10169,4,0.00
10279,4,0.00
10507,4,0.00
10553,4,0.00
10917,4,0.00
10952,4,0.00
10968,4,0.00
10994,4,0.00
11200,4,0.00
11439,4,0.00
11509,4,0.00
11558,4,0.00
11709,4,0.00
11721,4,0.00
11978,4,0.00
12062,4,0.00
12106,4,0.00
12136,4,0.00
12196,4,0.00
12209,4,0.00
12310,4,0.00
12542,4,0.00
12578,4,0.00
12721,4,0.00
12747,4,0.00
12803,4,0.00
12834,4,0.00
12903,4,0.00
12972,4,0.00
13041,4,0.00
13068,4,0.00
13116,4,0.00
13142,4,0.00
13148,4,0.00
13165,4,0.00
13411,4,0.00
13669,4,0.00
13904,4,0.00
14428,4,0.00
14543,4,0.00
14613,4,0.00
14622,4,0.00
15012,4,0.00
15024,4,0.00
15065,4,0.00
15626,4,0.00
15656,4,0.00
15666,4,0.00
15683,4,0.00
15963,4,0.00
16143,4,0.00
16354,4,0.00
16428,4,0.00
16804,4,0.00
16870,4,0.00
16929,4,0.00
17004,4,0.00
17268,4,0.00
17319,4,0.00
17344,4,0.00
17401,4,0.00
17501,4,0.00
17535,4,0.00
17737,4,0.00
17754,4,0.00
18032,4,0.00
18252,4,0.00
18344,4,0.00
18353,4,0.00
18370,4,0.00
18403,4,0.00
18428,4,0.00
18431,4,0.00
18603,4,0.00
18929,4,0.00
18936,4,0.00
19023,4,0.00
19075,4,0.00
19363,4,0.00
19453,4,0.00
19940,4,0.00
19970,4,0.00
20158,4,0.00
20616,4,0.00
20622,4,0.00
20659,4,0.00
20722,4,0.00
21013,4,0.00
21040,4,0.00
21047,4,0.00
21162,4,0.00
21216,4,0.00
21727,4,0.00
21733,4,0.00
21770,4,0.00
21782,4,0.00
21795,4,0.00
21826,4,0.00
22039,4,0.00
22307,4,0.00
22308,4,0.00
22551,4,0.00
22740,4,0.00
22842,4,0.00
22936,4,0.00
22960,4,0.00
23061,4,0.00
23062,4,0.00
23093,4,0.00
23150,4,0.00
23324,4,0.00
23417,4,0.00
23838,4,0.00
23841,4,0.00
24011,4,0.00
24014,4,0.00
24149,4,0.00
24151,4,0.00
24301,4,0.00
24445,4,0.00
24538,4,0.00
24739,4,0.00
24901,4,0.00
25601,4,0.00
26201,4,0.00
26452,4,0.00
26836,4,0.00
27021,4,0.00
27110,4,0.00
27249,4,0.00
27253,4,0.00
27317,4,0.00
27573,4,0.00
27608,4,0.00
27803,4,0.00
27915,4,0.00
28032,4,0.00
28037,4,0.00
28073,4,0.00
28086,4,0.00
28147,4,0.00
28305,4,0.00
28326,4,0.00
28334,4,0.00
28360,4,0.00
28425,4,0.00
28458,4,0.00
28466,4,0.00
28470,4,0.00
28504,4,0.00
28542,4,0.00
28547,4,0.00
28594,4,0.00
28621,4,0.00
28630,4,0.00
29180,4,0.00
29365,4,0.00
29379,4,0.00
29440,4,0.00
29492,4,0.00
29555,4,0.00
29568,4,0.00
29605,4,0.00
29634,4,0.00
98354,4,0.00
98359,4,0.00
98443,4,0.00
98631,4,0.00
98674,4,0.00
99506,4,0.00
99672,4,0.00
99801,4,0.00
"M5S 0A5",4,0.00
97741,3,0.00
97907,3,0.00
97914,3,0.00
98247,3,0.00
98295,3,0.00
98321,3,0.00
98346,3,0.00
98580,3,0.00
98606,3,0.00
98638,3,0.00
98671,3,0.00
98815,3,0.00
98930,3,0.00
98942,3,0.00
99114,3,0.00
99251,3,0.00
99337,3,0.00
99559,3,0.00
99712,3,0.00
"H9X 3V9",3,0.00
"L1N 3W9",3,0.00
"L2E 1C6",3,0.00
"L3C 3L1",3,0.00
"L8S 2C6",3,0.00
"M4Y 1A5",3,0.00
"M5J 0C3",3,0.00
"M9N 3X9",3,0.00
"T6G 2C7",3,0.00
29809,3,0.00
29832,3,0.00
29905,3,0.00
29935,3,0.00
29936,3,0.00
30028,3,0.00
30110,3,0.00
30153,3,0.00
30268,3,0.00
30291,3,0.00
30297,3,0.00
30434,3,0.00
30528,3,0.00
30535,3,0.00
30566,3,0.00
30643,3,0.00
30666,3,0.00
30683,3,0.00
30710,3,0.00
31005,3,0.00
31036,3,0.00
31064,3,0.00
31082,3,0.00
31092,3,0.00
31314,3,0.00
31524,3,0.00
31535,3,0.00
31632,3,0.00
31639,3,0.00
31768,3,0.00
31791,3,0.00
31903,3,0.00
32113,3,0.00
32208,3,0.00
32209,3,0.00
32212,3,0.00
32219,3,0.00
32305,3,0.00
32310,3,0.00
32328,3,0.00
32713,3,0.00
32754,3,0.00
32784,3,0.00
32796,3,0.00
32922,3,0.00
32927,3,0.00
33035,3,0.00
33043,3,0.00
33150,3,0.00
33168,3,0.00
33194,3,0.00
33306,3,0.00
33403,3,0.00
33525,3,0.00
33540,3,0.00
33541,3,0.00
33542,3,0.00
33567,3,0.00
33774,3,0.00
33782,3,0.00
33935,3,0.00
33954,3,0.00
33983,3,0.00
34117,3,0.00
34219,3,0.00
34223,3,0.00
34420,3,0.00
34446,3,0.00
34461,3,0.00
34482,3,0.00
34652,3,0.00
34667,3,0.00
34731,3,0.00
34743,3,0.00
34772,3,0.00
34987,3,0.00
35016,3,0.00
35214,3,0.00
35218,3,0.00
35222,3,0.00
35476,3,0.00
35555,3,0.00
35565,3,0.00
35586,3,0.00
35640,3,0.00
35750,3,0.00
35761,3,0.00
35768,3,0.00
35769,3,0.00
35950,3,0.00
35957,3,0.00
36067,3,0.00
36105,3,0.00
36266,3,0.00
36322,3,0.00
36340,3,0.00
36420,3,0.00
36541,3,0.00
36703,3,0.00
36867,3,0.00
36869,3,0.00
36870,3,0.00
37061,3,0.00
37073,3,0.00
37146,3,0.00
37148,3,0.00
37179,3,0.00
37232,3,0.00
37341,3,0.00
37356,3,0.00
37617,3,0.00
37643,3,0.00
37701,3,0.00
37716,3,0.00
37766,3,0.00
37774,3,0.00
37813,3,0.00
37857,3,0.00
37998,3,0.00
38028,3,0.00
38108,3,0.00
38114,3,0.00
38127,3,0.00
38358,3,0.00
38632,3,0.00
38733,3,0.00
38829,3,0.00
38930,3,0.00
39051,3,0.00
39083,3,0.00
39090,3,0.00
39475,3,0.00
39773,3,0.00
40111,3,0.00
40210,3,0.00
40211,3,0.00
40313,3,0.00
41001,3,0.00
41015,3,0.00
41041,3,0.00
43031,3,0.00
43062,3,0.00
43138,3,0.00
43432,3,0.00
43526,3,0.00
43542,3,0.00
43567,3,0.00
43620,3,0.00
43755,3,0.00
43812,3,0.00
44023,3,0.00
44026,3,0.00
44030,3,0.00
44052,3,0.00
44057,3,0.00
44132,3,0.00
44137,3,0.00
44142,3,0.00
44233,3,0.00
44278,3,0.00
44460,3,0.00
44511,3,0.00
44606,3,0.00
44618,3,0.00
44632,3,0.00
44820,3,0.00
44823,3,0.00
45000,3,0.00
45002,3,0.00
45015,3,0.00
45057,3,0.00
45207,3,0.00
45217,3,0.00
45221,3,0.00
45232,3,0.00
45233,3,0.00
45426,3,0.00
45640,3,0.00
45710,3,0.00
45714,3,0.00
45719,3,0.00
45764,3,0.00
45807,3,0.00
45828,3,0.00
45858,3,0.00
45869,3,0.00
45895,3,0.00
46001,3,0.00
46052,3,0.00
46064,3,0.00
46106,3,0.00
46225,3,0.00
46259,3,0.00
46327,3,0.00
46390,3,0.00
46507,3,0.00
46561,3,0.00
46567,3,0.00
46619,3,0.00
46732,3,0.00
46755,3,0.00
46783,3,0.00
46803,3,0.00
46807,3,0.00
46818,3,0.00
46928,3,0.00
46986,3,0.00
47060,3,0.00
47096,3,0.00
47112,3,0.00
47331,3,0.00
47407,3,0.00
47432,3,0.00
47454,3,0.00
47670,3,0.00
47710,3,0.00
47918,3,0.00
48015,3,0.00
48036,3,0.00
48051,3,0.00
48117,3,0.00
48122,3,0.00
48146,3,0.00
48173,3,0.00
48208,3,0.00
48209,3,0.00
48214,3,0.00
48341,3,0.00
48386,3,0.00
48414,3,0.00
48420,3,0.00
48433,3,0.00
48444,3,0.00
48617,3,0.00
48815,3,0.00
48828,3,0.00
48866,3,0.00
49079,3,0.00
49090,3,0.00
49230,3,0.00
49242,3,0.00
49302,3,0.00
49306,3,0.00
49348,3,0.00
49403,3,0.00
49422,3,0.00
49445,3,0.00
49735,3,0.00
50314,3,0.00
50616,3,0.00
51054,3,0.00
51104,3,0.00
51351,3,0.00
51401,3,0.00
51566,3,0.00
52248,3,0.00
52252,3,0.00
52349,3,0.00
52358,3,0.00
52544,3,0.00
52625,3,0.00
53015,3,0.00
53049,3,0.00
53075,3,0.00
53076,3,0.00
53086,3,0.00
53098,3,0.00
53118,3,0.00
53125,3,0.00
53130,3,0.00
53185,3,0.00
53208,3,0.00
53210,3,0.00
53538,3,0.00
54113,3,0.00
54202,3,0.00
54234,3,0.00
54448,3,0.00
54495,3,0.00
54548,3,0.00
54552,3,0.00
54656,3,0.00
54806,3,0.00
54923,3,0.00
55020,3,0.00
55079,3,0.00
55141,3,0.00
55302,3,0.00
55356,3,0.00
55364,3,0.00
55374,3,0.00
55387,3,0.00
55792,3,0.00
55920,3,0.00
55976,3,0.00
55992,3,0.00
56003,3,0.00
56058,3,0.00
56071,3,0.00
56501,3,0.00
56623,3,0.00
57064,3,0.00
57747,3,0.00
58072,3,0.00
58075,3,0.00
58271,3,0.00
58301,3,0.00
58523,3,0.00
58803,3,0.00
59068,3,0.00
59270,3,0.00
59301,3,0.00
59330,3,0.00
59834,3,0.00
59911,3,0.00
59917,3,0.00
60064,3,0.00
60083,3,0.00
60152,3,0.00
60401,3,0.00
60417,3,0.00
60421,3,0.00
60422,3,0.00
60438,3,0.00
60455,3,0.00
60478,3,0.00
60505,3,0.00
60538,3,0.00
60545,3,0.00
60619,3,0.00
60623,3,0.00
60633,3,0.00
60636,3,0.00
61010,3,0.00
61021,3,0.00
61028,3,0.00
61326,3,0.00
61342,3,0.00
61523,3,0.00
61603,3,0.00
61739,3,0.00
62225,3,0.00
62231,3,0.00
62236,3,0.00
62278,3,0.00
62410,3,0.00
62849,3,0.00
62960,3,0.00
63038,3,0.00
63040,3,0.00
63044,3,0.00
63049,3,0.00
63069,3,0.00
63084,3,0.00
63134,3,0.00
63138,3,0.00
63383,3,0.00
63645,3,0.00
64019,3,0.00
64034,3,0.00
64060,3,0.00
64113,3,0.00
64163,3,0.00
64485,3,0.00
64683,3,0.00
64834,3,0.00
65216,3,0.00
65340,3,0.00
65583,3,0.00
65613,3,0.00
65737,3,0.00
65739,3,0.00
66102,3,0.00
66206,3,0.00
66218,3,0.00
66538,3,0.00
66608,3,0.00
66612,3,0.00
66901,3,0.00
67003,3,0.00
67068,3,0.00
67357,3,0.00
67456,3,0.00
67950,3,0.00
68107,3,0.00
68110,3,0.00
68418,3,0.00
68434,3,0.00
68822,3,0.00
68949,3,0.00
70052,3,0.00
70070,3,0.00
70302,3,0.00
70310,3,0.00
70380,3,0.00
70447,3,0.00
70504,3,0.00
70583,3,0.00
70734,3,0.00
70760,3,0.00
71047,3,0.00
71052,3,0.00
71220,3,0.00
71263,3,0.00
71295,3,0.00
71923,3,0.00
71953,3,0.00
71998,3,0.00
72112,3,0.00
72455,3,0.00
72631,3,0.00
72634,3,0.00
72645,3,0.00
72687,3,0.00
72904,3,0.00
72936,3,0.00
73036,3,0.00
73078,3,0.00
73103,3,0.00
73119,3,0.00
73129,3,0.00
73131,3,0.00
73459,3,0.00
73542,3,0.00
73701,3,0.00
74070,3,0.00
74106,3,0.00
74426,3,0.00
74467,3,0.00
74571,3,0.00
74631,3,0.00
74653,3,0.00
74857,3,0.00
75119,3,0.00
75215,3,0.00
75232,3,0.00
75241,3,0.00
75270,3,0.00
75407,3,0.00
75418,3,0.00
75454,3,0.00
75460,3,0.00
75495,3,0.00
75633,3,0.00
75657,3,0.00
75962,3,0.00
76009,3,0.00
76060,3,0.00
76104,3,0.00
76204,3,0.00
76354,3,0.00
76624,3,0.00
76707,3,0.00
77028,3,0.00
77067,3,0.00
77093,3,0.00
77306,3,0.00
77355,3,0.00
77423,3,0.00
77465,3,0.00
77515,3,0.00
77530,3,0.00
77535,3,0.00
77568,3,0.00
77632,3,0.00
77640,3,0.00
77662,3,0.00
77803,3,0.00
77841,3,0.00
77864,3,0.00
78133,3,0.00
78202,3,0.00
78225,3,0.00
78236,3,0.00
78364,3,0.00
78387,3,0.00
78578,3,0.00
78583,3,0.00
78584,3,0.00
78617,3,0.00
78652,3,0.00
78653,3,0.00
78724,3,0.00
79381,3,0.00
79549,3,0.00
79745,3,0.00
79907,3,0.00
79908,3,0.00
79911,3,0.00
79968,3,0.00
80133,3,0.00
80497,3,0.00
80513,3,0.00
80535,3,0.00
80549,3,0.00
80603,3,0.00
80621,3,0.00
80642,3,0.00
80840,3,0.00
80841,3,0.00
81006,3,0.00
81137,3,0.00
81140,3,0.00
81235,3,0.00
81328,3,0.00
81413,3,0.00
81520,3,0.00
81647,3,0.00
82201,3,0.00
82941,3,0.00
83353,3,0.00
83617,3,0.00
83661,3,0.00
84036,3,0.00
84335,3,0.00
84501,3,0.00
84511,3,0.00
84533,3,0.00
84745,3,0.00
84843,3,0.00
85001,3,0.00
85120,3,0.00
85128,3,0.00
85307,3,0.00
86323,3,0.00
87015,3,0.00
87579,3,0.00
87740,3,0.00
88008,3,0.00
88045,3,0.00
88203,3,0.00
89010,3,0.00
89061,3,0.00
89154,3,0.00
89410,3,0.00
89449,3,0.00
89557,3,0.00
90059,3,0.00
90090,3,0.00
90608,3,0.00
90840,3,0.00
91176,3,0.00
91235,3,0.00
91521,3,0.00
91707,3,0.00
91715,3,0.00
91778,3,0.00
91779,3,0.00
91793,3,0.00
92091,3,0.00
92192,3,0.00
92250,3,0.00
92311,3,0.00
92371,3,0.00
92515,3,0.00
92582,3,0.00
92662,3,0.00
92861,3,0.00
93043,3,0.00
93044,3,0.00
93116,3,0.00
93134,3,0.00
93241,3,0.00
93402,3,0.00
93445,3,0.00
93644,3,0.00
93662,3,0.00
93944,3,0.00
94017,3,0.00
94037,3,0.00
94084,3,0.00
94088,3,0.00
94128,3,0.00
94146,3,0.00
94567,3,0.00
94931,3,0.00
94951,3,0.00
95015,3,0.00
95105,3,0.00
95143,3,0.00
95192,3,0.00
95215,3,0.00
95252,3,0.00
95341,3,0.00
95381,3,0.00
95436,3,0.00
95437,3,0.00
95460,3,0.00
95626,3,0.00
95631,3,0.00
95642,3,0.00
95693,3,0.00
95948,3,0.00
95987,3,0.00
96021,3,0.00
96060,3,0.00
96067,3,0.00
96134,3,0.00
96217,3,0.00
96260,3,0.00
96763,3,0.00
97024,3,0.00
97055,3,0.00
97056,3,0.00
97110,3,0.00
97204,3,0.00
97253,3,0.00
97310,3,0.00
97429,3,0.00
97459,3,0.00
97479,3,0.00
97496,3,0.00
01054,3,0.00
01077,3,0.00
01202,3,0.00
01247,3,0.00
01248,3,0.00
01366,3,0.00
01373,3,0.00
01379,3,0.00
01518,3,0.00
01550,3,0.00
01568,3,0.00
01718,3,0.00
02314,3,0.00
02341,3,0.00
02346,3,0.00
02370,3,0.00
02444,3,0.00
02539,3,0.00
02556,3,0.00
02653,3,0.00
02673,3,0.00
02710,3,0.00
02745,3,0.00
02769,3,0.00
02770,3,0.00
02832,3,0.00
03034,3,0.00
03037,3,0.00
03071,3,0.00
03220,3,0.00
03278,3,0.00
03446,3,0.00
03450,3,0.00
03452,3,0.00
03466,3,0.00
03471,3,0.00
03811,3,0.00
03835,3,0.00
03846,3,0.00
03903,3,0.00
04107,3,0.00
04128,3,0.00
04281,3,0.00
04347,3,0.00
04348,3,0.00
04364,3,0.00
04544,3,0.00
04679,3,0.00
04856,3,0.00
04950,3,0.00
05060,3,0.00
05250,3,0.00
05450,3,0.00
05468,3,0.00
05673,3,0.00
05751,3,0.00
06013,3,0.00
06058,3,0.00
06089,3,0.00
06108,3,0.00
06242,3,0.00
06254,3,0.00
06334,3,0.00
06354,3,0.00
06375,3,0.00
06377,3,0.00
06380,3,0.00
06389,3,0.00
06441,3,0.00
06782,3,0.00
06786,3,0.00
07027,3,0.00
07063,3,0.00
07204,3,0.00
07319,3,0.00
07422,3,0.00
07456,3,0.00
