order_date,total_purchases
2018-04-12,2951
2017-12-12,2950
2018-11-20,2949
2017-08-20,2946
2017-03-07,2940
2018-06-19,2936
2018-12-05,2936
2018-06-28,2935
2016-10-02,2932
2018-09-01,2931
2018-04-21,2930
2017-02-12,2929
2018-05-14,2929
2017-01-07,2927
2017-04-09,2924
2018-08-16,2924
2018-04-05,2920
2016-08-10,2919
2018-12-06,2917
2016-10-01,2916
2017-02-28,2914
2017-04-23,2914
2016-10-13,2910
2018-05-29,2910
2017-01-02,2906
2018-05-08,2901
2018-05-07,2900
2017-12-17,2893
2018-08-13,2891
2018-08-18,2877
2017-11-18,2873
2017-12-19,2873
2017-01-08,2869
2018-12-11,2858
2017-05-04,2857
2018-11-28,2857
2016-10-21,2856
2018-12-07,2852
2018-05-31,2851
2018-09-06,2850
2018-09-12,2848
2016-11-23,2845
2017-12-04,2843
2018-12-10,2841
2018-05-30,2840
2017-12-03,2827
2017-08-14,2825
2017-04-16,2822
2017-05-21,2821
2018-06-20,2821
2017-04-29,2819
2018-02-14,2816
2016-08-30,2813
2017-03-13,2811
2017-11-16,2810
2018-05-16,2810
2017-08-11,2808
2017-05-03,2804
2017-02-21,2802
2018-12-16,2789
2016-10-25,2786
2017-02-15,2784
2018-09-13,2784
2018-06-03,2782
2018-04-26,2781
2018-12-13,2778
2017-02-17,2771
2017-01-14,2770
2017-01-15,2767
2016-10-15,2764
2018-04-20,2764
2017-02-05,2762
2017-03-24,2762
2018-05-15,2762
2017-12-18,2758
2016-11-03,2752
2017-02-18,2749
2017-05-14,2749
2018-01-03,2747
2016-10-11,2743
2018-05-20,2743
2017-05-30,2737
2017-02-16,2732
2017-05-29,2724
2017-02-09,2723
2017-07-10,2717
2018-07-02,2716
2018-11-15,2701
2018-08-29,2700
2018-05-21,2699
2018-08-17,2697
2018-05-13,2693
2018-11-19,2691
2017-01-13,2684
2018-10-05,2683
2017-02-03,2678
2017-01-06,2677
2016-10-23,2676
2018-05-17,2667
2018-05-22,2666
2018-08-30,2663
2018-12-27,2661
2016-10-18,2659
2018-12-17,2657
2018-08-14,2651
2017-08-12,2649
2018-05-05,2649
2018-12-28,2648
2016-08-19,2647
2017-12-05,2646
2016-08-25,2645
